Time elapsed since last access: 0.512143 sec
--------------------------------------------------
            Lecture       Position
Alpha AxisE:    511           +511
Alpha WormE:    469           +469
Alpha Motor:    111           +111

Delta AxisE:    740           +740
Delta WormE:    873           +873
Delta Motor:   2927            -73
--------------------------------------------------
Page generated at: [2010-12-29, 00:43:37]


